Country,Population,Capital,lat,lon
Afghanistan,60,Kabul,34.51666667,69.183333
Armenia,104,,,
Azerbaijan,123,,,
Bahrain,2239,Manama,26.23333333,50.566667
Bangladesh,1265,Dhaka,23.71666667,90.4
Bhutan,20,,,
Brunei,83,Bandar Seri Begawan,4.883333333,114.933333
Cambodia,95,Phnom Penh,11.55,104.916667
China,153,Beijing,39.91666667,116.383333
East Timor,89,Dili,-8.583333333,125.6
Georgia,57,,,
Hong Kong,7140,,,
India,464,New Delhi,28.6,77.2
Indonesia,151,Jakarta,-6.166666667,106.816667
Iran,52,Tehran,35.7,51.416667
Iraq,93,Baghdad,33.33333333,44.4
Israel,400,Jerusalem,31.76666667,35.233333
Japan,347,Tokyo,35.68333333,139.75
Jordan,115,Amman,31.95,35.933333
Kazakhstan,7,Astana,51.16666667,71.416667
Kuwait,240,Kuwait City,29.36666667,47.966667
Kyrgyzstan,34,Bishkek,42.86666667,74.6
Laos,32,Vientiane,17.96666667,102.6
Lebanon,667,Beirut,33.86666667,35.5
Macao,21645,,,
Malaysia,99,Kuala Lumpur,3.166666667,101.7
Maldives,1802,,,
Mongolia,2,Ulaanbaatar,47.91666667,106.916667
Myanmar,83,Rangoon,16.8,96.15
Nepal,203,Kathmandu,27.71666667,85.316667
North Korea,214,Pyongyang,39.01666667,125.75
Northern Cyprus,131,,,
Oman,16,Muscat,23.61666667,58.583333
Pakistan,287,Islamabad,33.68333333,73.05
Palestine,847,Jerusalem,31.76666667,35.233333
Philippines,368,Manila,14.6,120.966667
Qatar,248,Doha,25.28333333,51.533333
Saudi Arabia,16,Riyadh,24.65,46.7
Singapore,8358,Singapore,1.283333333,103.85
South Korea,527,Seoul,37.55,126.983333
Sri Lanka,341,Colombo,6.916666667,79.833333
Syria,95,Damascus,33.5,36.3
Taiwan,673,Taipei,25.03333333,121.516667
Tajikistan,68,Dushanbe,38.55,68.766667
Thailand,137,Bangkok,13.75,100.516667
Turkey,110,,,
Turkmenistan,13,Ashgabat,37.95,58.383333
United Arab Emirates,118,Abu Dhabi,24.46666667,54.366667
Uzbekistan,79,Tashkent,41.31666667,69.25
Vietnam,314,Hanoi,21.03333333,105.85
Yemen,56,,,
